epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,618.578,0.83974,0.59837,0.93503,0.98893,0.80433,0.82964,0.71224,0.89594,0.62789,0.89973,0.00089308,0.00089308,0.00089308
110,627.028,0.87515,0.66015,0.96062,0.95911,0.80714,0.82983,0.69629,0.96503,0.76223,0.92898,0.00089209,0.00089209,0.00089209
111,633.983,0.85613,0.62685,0.94357,0.97632,0.78253,0.83033,0.70949,0.84088,0.6184,0.88859,0.0008911,0.0008911,0.0008911
112,640.913,0.87273,0.61579,0.95599,0.97203,0.80841,0.82987,0.68316,0.89755,0.63536,0.90927,0.00089011,0.00089011,0.00089011
113,647.07,0.867,0.64723,0.94368,0.98558,0.80536,0.83001,0.69556,0.94206,0.67073,0.94392,0.00088912,0.00088912,0.00088912
114,653.081,0.90104,0.7009,0.95268,0.98086,0.83333,0.82971,0.69632,0.94907,0.61803,0.93711,0.00088813,0.00088813,0.00088813
115,659.396,0.87336,0.65933,0.94126,0.94695,0.83333,0.83606,0.70909,0.91653,0.7674,0.92267,0.00088714,0.00088714,0.00088714
116,665.483,0.87784,0.67097,0.94415,0.94017,0.83333,0.83118,0.69384,0.96754,0.69614,0.95522,0.00088615,0.00088615,0.00088615
117,671.466,0.85857,0.67109,0.94382,0.94513,0.82684,0.83047,0.68603,0.94239,0.64296,0.92405,0.00088516,0.00088516,0.00088516
118,677.43,0.87677,0.65388,0.95182,0.97659,0.74937,0.81578,0.70631,0.90153,0.70031,0.91415,0.00088417,0.00088417,0.00088417
119,683.565,0.95174,0.86828,0.97953,0.93581,0.80012,0.83001,0.69666,0.91524,0.74326,0.91529,0.00088318,0.00088318,0.00088318
120,689.808,0.88911,0.68238,0.95411,0.98326,0.80165,0.82946,0.70733,0.92866,0.70668,0.93038,0.00088219,0.00088219,0.00088219
121,695.842,0.84833,0.60126,0.94655,0.84181,0.82422,0.80218,0.67972,0.91956,0.67904,0.91285,0.0008812,0.0008812,0.0008812
122,701.944,0.86316,0.63502,0.95416,0.94523,0.79732,0.83123,0.69437,1.02861,0.6801,0.94642,0.00088021,0.00088021,0.00088021
123,708.056,0.82115,0.71835,0.892,0.97885,0.80375,0.83001,0.70107,0.90973,0.61017,0.91193,0.00087922,0.00087922,0.00087922
124,714.132,0.82269,0.5815,0.92734,0.94598,0.82435,0.83057,0.68274,0.92118,0.56137,0.91251,0.00087823,0.00087823,0.00087823
125,720.352,0.8471,0.72324,0.93204,0.88983,0.82457,0.82959,0.6862,0.94531,0.70613,0.90747,0.00087724,0.00087724,0.00087724
126,726.346,0.83888,0.64117,0.93289,0.95545,0.80226,0.83007,0.69022,0.9255,0.64273,0.91902,0.00087625,0.00087625,0.00087625
127,732.162,0.86471,0.62431,0.94104,0.94119,0.80519,0.8048,0.67527,0.92546,0.78982,0.91426,0.00087526,0.00087526,0.00087526
128,738.929,0.8481,0.70362,0.94995,0.93974,0.80831,0.83104,0.69905,0.98531,0.69403,0.93538,0.00087427,0.00087427,0.00087427
129,744.807,0.78877,0.61341,0.9186,0.95799,0.81121,0.82917,0.70494,0.92984,0.71915,0.93396,0.00087328,0.00087328,0.00087328
130,750.773,0.85301,0.62049,0.95565,0.88345,0.77132,0.77471,0.65768,0.89645,0.79161,0.90439,0.00087229,0.00087229,0.00087229
131,757.148,0.82719,0.61821,0.94582,0.94067,0.73063,0.81551,0.69437,0.86984,0.68344,0.90038,0.0008713,0.0008713,0.0008713
132,763.246,0.82088,0.54454,0.92771,0.97391,0.80317,0.82961,0.70706,0.89853,0.58596,0.89988,0.00087031,0.00087031,0.00087031
133,769.179,0.82149,0.59892,0.93413,0.9894,0.80266,0.82934,0.71581,0.9034,0.60488,0.90927,0.00086932,0.00086932,0.00086932
134,775.342,0.87115,0.61922,0.95172,0.95491,0.80831,0.82982,0.71045,0.84367,0.60353,0.8898,0.00086833,0.00086833,0.00086833
135,781.851,0.8035,0.56357,0.92559,0.98838,0.80556,0.83014,0.67994,0.94306,0.59785,0.91625,0.00086734,0.00086734,0.00086734
136,788.277,0.81321,0.5862,0.92453,0.98556,0.80207,0.83029,0.7199,0.8709,0.5791,0.9031,0.00086635,0.00086635,0.00086635
137,794.697,0.79279,0.59536,0.92435,0.93644,0.82594,0.80335,0.66927,0.89024,0.63594,0.90384,0.00086536,0.00086536,0.00086536
138,800.785,0.77576,0.57194,0.91315,0.85604,0.75,0.74392,0.63601,0.93661,0.90558,0.93823,0.00086437,0.00086437,0.00086437
139,807.226,0.83122,0.60469,0.93305,0.88865,0.80769,0.83129,0.68288,0.94209,0.74803,0.92676,0.00086338,0.00086338,0.00086338
